command,syntax
ip dhcp relay enable (Global),"{'no ip dhcp relay enable', 'ip dhcp relay enable'}"
ip dhcp relay enable (Interface),"{'no ip dhcp relay enable', 'ip dhcp relay enable'}"
ip dhcp server,"{'ip dhcp server', 'no ip dhcp server'}"
ip dhcp snooping,"{'no ip dhcp snooping', 'ip dhcp snooping'}"
ip dhcp snooping binding,"{'no ip dhcp snooping binding mac-address vlan-id', 'ip dhcp snooping binding mac-address vlan-id ip-address interface-id expiry {seconds | infinite}'}"
ip dhcp snooping database,"{'ip dhcp snooping database {flash | tftp {IPv4-ADDR NAME | HOSTNAME NAME} | timeout VALUE | write-delay VALUE }', 'no ip dhcp snooping database [timeout | write-delay]', 'no ip dhcp snooping database', 'ip dhcp snooping database'}"
ip dhcp snooping information option,"{'ip dhcp snooping information option [format remote-id STRING]', 'no ip dhcp snooping information option [format remote-id]'}"
ip dhcp snooping information option allow-untrusted,"{'ip dhcp snooping information option allow-untrusted [replace]', 'no ip dhcp snooping information option allow-untrusted'}"
ip dhcp snooping information option allowed-untrusted,"{'ip dhcp snooping information option allowed-untrusted', 'no ip dhcp snooping information option allowed-untrusted'}"
ip dhcp snooping limit rate,"{'no ip dhcp snooping limit rate', 'ip dhcp snooping limit rate VALUE'}"
ip dhcp snooping trust,"{'no ip dhcp snooping trust', 'ip dhcp snooping trust'}"
ip dhcp snooping verify,"{'ip dhcp snooping verify', 'no ip dhcp snooping verify'}"
ip dhcp snooping verify mac-address,"{'no ip dhcp snooping verify mac-address', 'ip dhcp snooping verify mac-address'}"
ip dhcp snooping vlan,"{'ip dhcp snooping vlan VLAN-LIST', 'ip dhcp snooping vlan vlan-id', 'no ip dhcp snooping vlan vlan-id', 'no ip dhcp snooping vlan VLAN-LIST'}"
ip dhcp snooping vlan information option circuit-id,"{'ip dhcp snooping vlan VLAN-LIST information option circuit-id STRING', 'no ip dhcp snooping vlan VLAN-LIST information option circuit-id'}"
ip dhcp tftp-server file,"{'ip dhcp tftp-server file file-path', 'no ip dhcp tftp-server file', 'ip dhcp tftp-server file WORD<1-128>'}"
ip dhcp tftp-server image file,"{'ip dhcp tftp-server image file file-path', 'no ip dhcp tftp-server image file'}"
ip dhcp tftp-server ip address,"{'no dhcp tftp-server ip address', 'no ip dhcp tftp-server ip address', 'ip dhcp tftp-server ip address {ipv4-address | hostname | ipv6-address}', 'ip dhcp tftp-server ip address ip-addr'}"
ip domain lookup,"{'no ip domain lookup', 'ip domain lookup'}"
ip domain name,"{'ip domain name name', 'no ip domain name', 'ip domain name hostname'}"
ip domain polling-interval,"{'ip domain polling-interval seconds', 'no ip domain polling-interval'}"
ip domain retry,"{'no ip domain retry', 'ip domain retry number'}"
ip domain timeout,"{'ip domain timeout seconds', 'no ip domain timeout'}"
ip helper-address,"{'ip helper-address {ip-interface | all} address [udp-port-list]', 'no ip helper-address {ip-interface | all} address'}"
ip host,"{'address1—Associated host IP address (IPv4 or IPv6, if IPv6 stack is supported).', 'no ip host hostname address1 [address2.address8]', 'Parameters', 'no ip host name ip host name [address1.address8]', 'no ip host hostname [address1.address8]', 'ip host hostname address1 [address2.address8]', 'address2.address8—(Optional) Up to seven additional associated IP addresses, delimited by a single space (IPv4 or IPv6, if IPv6 stack is supported).', 'hostname—Name of the host. (Length: 1 to 158 characters. Maximum label length of each domain level is 63 characters.)'}"
ip http authentication,"{'no ip http authentication aaa login-authentication', 'ip http authentication aaa login-authentication [login-authorization] method1 [method2.]', 'ip http authentication aaa login-authentication [http | https] {default | LISTNAME}', 'no ip http authentication aaa login-authentication [http | https]'}"
ip http port,"{'ip http port port-number', 'no ip http port'}"
ip http secure-server,"{'no ip http secure-server', 'ip http secure-server'}"
ip http server,"{'ip http server', 'no ip http server'}"
ip http timeout-policy,"{'no ip http timeout-policy [http-only | https-only]', 'ip http timeout-policy minutes [http-only | https-only]', 'ip http timeout-policy idle-seconds [{http-only | https-only}]', 'no ip http timeout-policy'}"
ip https certificate,"{'ip https certificate number', 'no ip https certificate'}"
ip https logging,"{'ip https logging {enable| disable}', 'no ip https logging'}"
ip igmp filter,"{'ip igmp filter profile-number', 'no ip igmp filter'}"
ip igmp last-member-query-count,"{'ip igmp last-member-query-count count', 'no ip igmp last-member-query-count'}"
ip igmp last-member-query-interval,"{'no ip igmp last-member-query-interval', 'ip igmp last-member-query-interval milliseconds'}"
ip igmp max-groups,"{'no ip igmp max-groups', 'ip igmp max-groups number', 'ip igmp max-groups action {deny | replace}'}"
ip igmp profile,"{'no ip igmp profile profile-number', 'ip igmp profile profile-number'}"
ip igmp query-interval,"{'no ip igmp query-interval', 'ip igmp query-interval seconds'}"
ip igmp query-max-response-time,"{'ip igmp query-max-response-time seconds', 'no ip igmp query-max-response-time'}"
ip igmp robustness,"{'ip igmp robustness count', 'no ip igmp robustness'}"
ip igmp snooping,"{'ip igmp snooping', 'no ip igmp snooping'}"
ip igmp snooping (Global),"{'ip igmp snooping', 'no ip igmp snooping'}"
ip igmp snooping map cpe vlan,"{'ip igmp snooping map cpe vlan cpe-vlan-id multicast-tv vlan vlan-id', 'no ip igmp snooping map cpe vlan vlan-id'}"
ip igmp snooping querier,"{'ip igmp snooping querier', 'no ip igmp snooping querier'}"
ip igmp snooping report-suppression,"{'ip igmp snooping report-suppression', 'no ip igmp snooping report-suppression'}"
ip igmp snooping unknown-multicast action,"{'ip igmp snooping unknown-multicast action {drop | flood | router-port}', 'no ip igmp snooping unknown-multicast action'}"
ip igmp snooping vlan,"{'no ip igmp snooping vlan VLAN-LIST', 'ip igmp snooping vlan vlan-id', 'ip igmp snooping vlan VLAN-LIST', 'no ip igmp snooping vlan vlan-id'}"
ip igmp snooping vlan forbidden forward-all,"{'ip igmp snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id'}"
ip igmp snooping vlan forbidden mrouter,"{'no ip igmp snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'ip igmp snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'no ip igmp snooping vlan vlan-id forbidden mrouter interface interface-list', 'ip igmp snooping vlan vlan-id forbidden mrouter interface interface-list'}"
ip igmp snooping vlan forward-all,"{'ip igmp snooping vlan VLAN-LIST forward-all interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST forward-all interfaces interface-id'}"
ip igmp snooping vlan immediate-leave,"{'ip igmp snooping vlan vlan-id immediate-leave', 'no ip igmp snooping vlan vlan-id immediate-leave', 'ip igmp snooping vlan VLAN-LIST immediate-leave', 'no ip igmp snooping vlan VLAN-LIST immediate-leave'}"
ip igmp snooping vlan last-member-query-count,"{'no ip igmp snooping vlan VLAN-LIST last-member-query-count', 'ip igmp snooping vlan VLAN-LIST last-member-query-count count'}"
ip igmp snooping vlan last-member-query-interval,"{'no ip igmp snooping vlan VLAN-LIST last-member-query-interval', 'ip igmp snooping vlan VLAN-LIST last-member-query-interval seconds'}"
ip igmp snooping vlan mrouter,"{'ip igmp snooping vlan VLAN-LIST mrouter interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST mrouter interfaces interface-id', 'ip igmp snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'no ip igmp snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'no ip igmp snooping vlan vlan-id mrouter learn pim-dvmrp', 'ip igmp snooping vlan vlan-id mrouter learn pim-dvmrp'}"
ip igmp snooping vlan mrouter interface,"{'ip igmp snooping vlan vlan-id mrouter interface interface-list', 'no ip igmp snooping vlan vlan-id mrouter interface interface-list'}"
ip igmp snooping vlan multicast-tv,"{'ip igmp snooping vlan vlan-id multicast-tv first-ip-multicast-address [last-ip-multicast-address | {count number}]', 'no ip igmp snooping vlan vlan-id multicast-tv first-ip-multicast-address [last-ip-multicast-address | {count number}]'}"
ip igmp snooping vlan querier,"{'ip igmp snooping vlan VLAN-LIST querier', 'no ip igmp snooping vlan vlan-id querier', 'no ip igmp snooping vlan VLAN-LIST querier', 'ip igmp snooping vlan vlan-id querier'}"
ip igmp snooping vlan querier address,"{'ip igmp snooping vlan vlan-id querier address ip-address', 'no ip igmp snooping vlan vlan-id querier address'}"
ip igmp snooping vlan querier election,"{'ip igmp snooping vlan vlan-id querier election', 'no ip igmp snooping vlan vlan-id querier election'}"
ip igmp snooping vlan querier version,"{'no ip igmp snooping vlan vlan-id querier version', 'ip igmp snooping vlan VLAN-LIST querier version {2 | 3}', 'ip igmp snooping vlan vlan-id querier version {2 | 3}', 'no ip igmp snooping vlan VLAN-LIST querier version'}"
ip igmp snooping vlan query-interval,"{'no ip igmp snooping vlan VLAN-LIST query-interval', 'ip igmp snooping vlan VLAN-LIST query-interval seconds'}"
ip igmp snooping vlan response-time,"{'no ip igmp snooping vlan VLAN-LIST response-time', 'ip igmp snooping vlan VLAN-LIST response-time seconds'}"
ip igmp snooping vlan robustness-variable,"{'no ip igmp snooping vlan VLAN-LIST robustness-variable', 'ip igmp snooping vlan VLAN-LIST robustness-variable count'}"
ip igmp snooping vlan static,"{'no ip igmp snooping vlan VLAN-LIST static IPv4-Addr interface interface-id', 'no ip igmp snooping vlan vlan-id static ip-address [interface interface-list]', 'ip igmp snooping vlan vlan-id static ip-address [interface interface-list]', 'ip igmp snooping vlan VLAN-LIST static IPv4-Addr interface interface-id'}"
ip igmp version,"{'no ip igmp version', 'ip igmp version {1 | 2 | 3}'}"
ip igmp-proxy,"{'ip igmp-proxy upstream-interface-id', 'no ip igmp-proxy'}"
ip igmp-proxy downstream protected,"{'no ip igmp-proxy downstream protected', 'ip igmp-proxy downstream protected'}"
ip igmp-proxy downstream protected interface,"{'ip igmp-proxy downstream protected interface {enabled | disabled}', 'no ip igmp-proxy downstream protected interface'}"
ip igmp-proxy ssm,"{'ip igmp-proxy ssm {default | range access-list}', 'no ip igmp-proxy ssm'}"
ip mac,"{'ip ip-address mac mac-address', 'no ip ip-address mac mac-address'}"
ip multicast ttl-threshold,"{'no ip multicast ttl-threshold', 'ip multicast ttl-threshold ttl-value'}"
ip multicast-routing,"{'no ip multicast-routing', 'ip multicast-routing igmp-proxy'}"
ip name-server,"{'ip name-server server1-address [server-address2.erver-address8]', 'no ip name-server [server-address1.server-address8]', 'no ip name-server', 'ip name-server server-address1 [server-address2.server-address8]'}"
ip policy route-map,"{'no ip policy route-map', 'ip policy route-map map-tag'}"
ip proxy-arp,"{'ip proxy-arp', 'no ip proxy-arp'}"
ip redirects,"{'no ip redirects', 'ip redirects'}"
ip rip authentication key-chain,"{'ip rip authentication key-chain name-of-chain', 'no ip rip authentication key-chain'}"
ip rip authentication mode,"{'ip rip authentication mode {text | md5}', 'no ip rip authentication mode'}"
ip rip authentication-key,"{'ip rip authentication-key password', 'no ip rip authentication-key'}"
ip rip default-information originate,"{'ip rip default-information originate {disable | metric}', 'no ip rip default-information originate'}"
ip rip distribute-list in,"{'no ip rip distribute-list in', 'ip rip distribute-list access access-list-name in'}"
ip rip distribute-list out,"{'no ip rip distribute-list out', 'ip rip distribute-list access access-list-name out'}"
ip rip offset,"{'ip rip offset offset', 'no ip rip offset'}"
ip rip passive-interface,"{'ip rip passive-interface', 'no ip rip passive-interface'}"
ip rip shutdown,"{'ip rip shutdown', 'no ip rip shutdown'}"
ip route,"{'no ip route prefix {mask | /prefix-length} [ip-address]', 'ip route prefix {mask | /prefix-length} {ip-address [metric value]} | reject-route}'}"
ip routing,"{'ip routing', 'no ip routing'}"
ip source binding,"{'no ip source binding MAC-Addr vlan VLAN-LIST IPv4-Addr interface interface-id', 'ip source binding MAC-Addr vlan VLAN-LIST IPv4-Addr interface interface-id'}"
ip ssh password-auth,"{'ip ssh password-auth', 'no ip ssh password-auth'}"
ip ssh port,"{'no ip ssh port', 'ip ssh port port-number'}"
ip ssh pubkey-auth,"{'ip ssh pubkey-auth [auto-login]', 'no ip ssh pubkey-auth'}"
ip ssh server,"{'ip ssh server', 'no ip ssh server'}"
ip ssh-client authentication,"{'ip ssh-client authentication {password | public-key {rsa | dsa}', 'no ip ssh-client authentication'}"
ip ssh-client key,"{'no ip ssh-client key [dsa | rsa]', 'ip ssh-client key {dsa | rsa} {generate | key-pair privkey pubkey}', 'encrypted ip ssh-client key {dsa | rsa} key-pair encrypted-privkey pubkey'}"
ip ssh-client password,"{'no ip ssh-client password', 'ip ssh-client password string', 'encrypted ip ssh-client password encrypted-string'}"
ip ssh-client server authentication,"{'ip ssh-client server authentication', 'no ip ssh-client server authentication'}"
ip ssh-client server fingerprint,"{'ip ssh-client server fingerprint {host | ip-address} fingerprint', 'no ip ssh-client server fingerprint [host | ip-address]'}"
ip ssh-client source-interface,"{'ip ssh-client source-interface interface-id', 'no ip ssh-client source-interface'}"
ip ssh-client username,"{'ip ssh-client username string', 'no ip ssh-client username'}"
ip telnet server,"{'no ip telnet server', 'ip telnet server'}"
ip verify source,"{'ip verify source [mac-and-ip]', 'no ip verify source'}"
ipv6 access-group in,"{'ipv6 access-group acl-name in', 'no ipv6 access-group in'}"
ipv6 access-list,"{'ipv6 access-list acl-name', 'no ipv6 access-list acl-name'}"
ipv6 access-list (IP standard),"{'no ipv6 access-list access-list-name', 'ipv6 access-list access-list-name {deny|permit} {src-addr[/src-len] | any}'}"
ipv6 access-list (IPv6 extended),"{'no ipv6 access-list [acl-name]', 'ipv6 access-list [acl-name]'}"
ipv6 address,"{'no ipv6 address [ipv6-address/prefix-length]', 'ipv6 address ipv6-address/prefix-length'}"
ipv6 address anycast,"{'no ipv6 address [ipv6-prefix/prefix-length]', 'ipv6 address ipv6-prefix/prefix-length anycast'}"
ipv6 address autoconfig,"{'ipv6 address autoconfig', 'no ipv6 address autoconfig'}"
ipv6 address dhcp,"{'no ipv6 address dhcp', 'ipv6 address dhcp [rapid-commit]'}"
ipv6 address eui-64,"{'no ipv6 address [ipv6-prefix/prefix-length eui-64]', 'ipv6 address ipv6-prefix/prefix-length eui-64'}"
ipv6 address link-local,"{'no ipv6 address [link-local]', 'ipv6 address ipv6-prefix link-local'}"
ipv6 default-gateway,"{'no ipv6 default-gateway [{ipv6-address [outgoing-interface-id]} | interface-id]', 'ipv6 default-gateway {ipv6-address [outgoing-interface-id]} | interface-id', 'ipv6 default-gateway ipv6-address'}"
ipv6 dhcp client information refresh,"{'ipv6 dhcp client information refresh seconds | infinite', 'no ipv6 dhcp client information refresh'}"
ipv6 dhcp client information refresh minimum,"{'no ipv6 dhcp client information refresh minimum', 'ipv6 dhcp client information refresh minimum seconds | infinite'}"
ipv6 dhcp duid-en,"{'no ipv6 dhcp duid-en', 'ipv6 dhcp duid-en enterprise-number identifier'}"
ipv6 dhcp guard,"{'ipv6 dhcp guard', 'no ipv6 dhcp guard'}"
ipv6 dhcp guard attach-policy (VLAN mode),"{'no ipv6 dhcp guard attach-policy', 'ipv6 dhcp guard attach-policy policy-name'}"
ipv6 dhcp guard attach-policy (port mode),"{'no ipv6 dhcp guard attach-policy [policy-name]', 'ipv6 dhcp guard attach-policy policy-name [vlan vlan-list]'}"
ipv6 dhcp guard policy,"{'no ipv6 dhcp guard policy policy-name', 'ipv6 dhcp guard policy policy-name'}"
ipv6 dhcp guard preference,"{'ipv6 dhcp guard preference {[maximum value] [minimum value]}', 'no ipv6 dhcp guard preference [maximum] [minimum]'}"
ipv6 dhcp relay destination (Global),"{'ipv6 dhcp relay destination {ipv6-address [interface-id]} | interface-id', 'no ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]'}"
ipv6 dhcp relay destination (Interface),"{'no ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]', 'ipv6 dhcp relay destination [{ipv6-address [interface-id]} | interface-id]'}"
ipv6 enable,"{'no ipv6 enable', 'ipv6 enable'}"
ipv6 first hop security,"{'ipv6 first hop security', 'no ipv6 first hop security'}"
ipv6 first hop security attach-policy (VLAN mode),"{'ipv6 first hop security attach-policy policy-name', 'no ipv6 first hop security attach-policy'}"
ipv6 first hop security attach-policy (port mode),"{'no ipv6 first hop security attach-policy [policy-name]', 'ipv6 first hop security attach-policy policy-name [vlan vlan-list]'}"
ipv6 first hop security logging packet drop,"{'ipv6 first hop security logging packet drop', 'no ipv6 first hop security logging packet drop'}"
ipv6 first hop security policy,"{'ipv6 first hop security policy policy-name', 'no ipv6 first hop security policy policy-name'}"
ipv6 hop-limit,"{'no ipv6 hop-limit', 'ipv6 hop-limit value'}"
ipv6 icmp error-interval,"{'no ipv6 icmp error-interval', 'ipv6 icmp error-interval milliseconds [bucketsize]'}"
ipv6 link-local default zone,"{'no Ipv6 link-local default zone', 'Ipv6 link-local default zone interface-id'}"
ipv6 mld filter,"{'no ipv6 mld filter', 'ipv6 mld filter profile-number'}"
ipv6 mld last-member-query-count,"{'ipv6 mld last-member-query-count count', 'no ipv6 mld last-member-query-count'}"
ipv6 mld last-member-query-interval,"{'no ipv6 mld last-member-query-interval', 'ipv6 mld last-member-query-interval milliseconds'}"
ipv6 mld max-groups,"{'ipv6 mld max-groups action {deny | replace}', 'ipv6 mld max-groups number', 'no ipv6 mld max-groups number'}"
ipv6 mld profile,"{'no ip igmp profile profile-number', 'ipv6 mld profile profile-number'}"
ipv6 mld query-interval,"{'no ipv6 mld query-interval', 'ipv6 mld query-interval seconds'}"
ipv6 mld query-max-response-time,"{'no ipv6 mld query-max-response-time', 'ipv6 mld query-max-response-time seconds'}"
ipv6 mld robustness,"{'no ipv6 mld robustness', 'ipv6 mld robustness count'}"
ipv6 mld snooping,"{'ipv6 mld snooping [version {1 | 2}]', 'no ipv6 mld snooping'}"
ipv6 mld snooping (Global),"{'ipv6 mld snooping', 'no ipv6 mld snooping'}"
ipv6 mld snooping querier,"{'no ipv6 mld snooping querier', 'ipv6 mld snooping querier'}"
ipv6 mld snooping report-suppression,"{'ipv6 mld snooping report-suppression', 'no ipv6 mld snooping report-suppression'}"
ipv6 mld snooping vlan,"{'ipv6 mld snooping vlan VLAN-LIST', 'no ipv6 mld snooping vlan VLAN-LIST', 'no ipv6 mld snooping vlan vlan-id', 'ipv6 mld snooping vlan vlan-id'}"
ipv6 mld snooping vlan forbidden forward-all,"{'no ip6 mld snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id', 'ip6 mld snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id'}"
ipv6 mld snooping vlan forbidden mrouter,"{'no ipv6 mld snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'no ipv6 mld snooping vlan vlan-id forbidden mrouter interface interface-list', 'ipv6 mld snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'ipv6 mld snooping vlan vlan-id forbidden mrouter interface interface-list'}"
ipv6 mld snooping vlan forward-all,"{'no ipv6 mld snooping vlan VLAN-LIST forward-all interfaces interface-id', 'ipv6 mld snooping vlan VLAN-LIST forward-all interfaces interface-id'}"
ipv6 mld snooping vlan immediate-leave,"{'no ipv6 mld snooping vlan vlan-id immediate-leave', 'ipv6 mld snooping vlan vlan-id immediate-leave', 'no ipv6 mld snooping vlan VLAN-LIST immediate-leave', 'ipv6 mld snooping vlan VLAN-LIST immediate-leave'}"
ipv6 mld snooping vlan last-member-query-count,"{'no ipv6 mld snooping vlan VLAN-LIST last-member-query-count', 'ipv6 mld snooping vlan VLAN-LIST last-member-query-count VALUE'}"
ipv6 mld snooping vlan last-member-query-interval,"{'ipv6 mld snooping vlan VLAN-LIST last-member-query-interval VALUE', 'no ipv6 mld snooping vlan VLAN-LIST last-member-query-interval'}"
ipv6 mld snooping vlan mrouter,"{'ipv6 mld snooping vlan vlan-id mrouter learn pim-dvmrp', 'no ipv6 mld snooping vlan vlan-id mrouter learn pim-dvmrp', 'no ipv6 mld snooping vlan VLAN-LIST mrouter interfaces interface-id', 'ipv6 mld snooping vlan VLAN-LIST mrouter interfaces interface-id'}"
ipv6 mld snooping vlan mrouter interface,"{'ipv6 mld snooping vlan vlan-id mrouter interface interface-list', 'no ipv6 mld snooping vlan vlan-id mrouter interface interface-list'}"
ipv6 mld snooping vlan mrouter learn pim-dvmrp,"{'ipv6 mld snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'no ipv6 mld snooping vlan VLAN-LIST mrouter learn pim-dvmrp'}"
ipv6 mld snooping vlan querier,"{'ipv6 mld snooping vlan vlan-id querier', 'no ipv6 mld snooping vlan vlan-id querier'}"
ipv6 mld snooping vlan querier election,"{'ipv6 mld snooping vlan vlan-id querier election', 'no ipv6 mld snooping vlan vlan-id querier election'}"
ipv6 mld snooping vlan querier version,"{'no ipv6 mld snooping vlan vlan-id querier version', 'ipv6 mld snooping vlan vlan-id querier version {1 | 2}'}"
ipv6 mld snooping vlan query-interval,"{'ipv6 mld snooping vlan VLAN-LIST query-interval VALUE', 'no ipv6 mld snooping vlan VLAN-LIST query-interval'}"
ipv6 mld snooping vlan response-time,"{'no ipv6 mld snooping vlan VLAN-LIST response-time', 'ipv6 mld snooping vlan VLAN-LIST response-time seconds'}"
ipv6 mld snooping vlan robustness-variable,"{'ipv6 mld snooping vlan VLAN-LIST robustness-variable VALUE', 'no ipv6 mld snooping vlan VLAN-LIST robustness-variable'}"
ipv6 mld snooping vlan static,"{'ipv6 mld snooping vlan vlan-id static ipv6-address [interface interface-list]', 'no ipv6 mld snooping vlan vlan-id static ipv6-address [interface interface-list]'}"
ipv6 mld snooping vlan static interface,"{'ipv6 mld snooping vlan VLAN-LIST static IPv6-Addr interface interface-id', 'no ipv6 mld snooping vlan VLAN-LIST static IPv6-Addr interface interface-id'}"
ipv6 mld version,"{'ipv6 mld version {1 | 2}', 'no ipv6 mld version'}"
ipv6 mld-proxy,"{'ipv6 mld-proxy upstream-interface-id', 'no ipv6 mld-proxy'}"
ipv6 mld-proxy downstream protected,"{'ipv6 mld-proxy downstream protected', 'no ipv6 mld-proxy downstream protected'}"
ipv6 mld-proxy downstream protected interface,"{'no ipv6 mld-proxy downstream protected interface', 'ipv6 mld-proxy downstream protected interface {enabled | disabled}'}"
ipv6 mld-proxy ssm,"{'no ipv6 mld-proxy ssm', 'ipv6 mld-proxy ssm {default | range access-list}'}"
ipv6 multicast-routing,"{'no ipv6 multicast-routing', 'ipv6 multicast-routing mld-proxy'}"
ipv6 nd advertisement-interval,"{'no ipv6 nd advertisement-interval', 'ipv6 nd advertisement-interval'}"
ipv6 nd dad attempts,"{'ipv6 nd dad attempts value', 'no ipv6 nd dad attempts'}"
ipv6 nd hop-limit,"{'no ipv6 nd hop-limit', 'ipv6 nd hop-limit value'}"
ipv6 nd inspection,"{'no ipv6 nd inspection', 'ipv6 nd inspection'}"
ipv6 nd inspection attach-policy (VLAN mode),"{'ipv6 nd inspection attach-policy policy-name', 'no ipv6 nd inspection attach-policy'}"
ipv6 nd inspection attach-policy (port mode),"{'ipv6 nd inspection attach-policy policy-name [vlan vlan-list]', 'no ipv6 nd inspection attach-policy [policy-name]'}"
ipv6 nd inspection drop-unsecure,"{'ipv6 nd inspection drop-unsecure', 'no ipv6 nd inspection drop-unsecure'}"
ipv6 nd inspection policy,"{'no ipv6 nd inspection policy policy-name', 'ipv6 nd inspection policy policy-name'}"
ipv6 nd inspection sec-level minimum,"{'no ipv6 nd inspection sec-level minimum', 'ipv6 nd inspection sec-level minimum value'}"
ipv6 nd inspection validate source-mac,"{'no ipv6 nd inspection validate source-mac', 'ipv6 nd inspection validate source-mac'}"
ipv6 nd managed-config-flag,"{'no ipv6 nd managed-config-flag', 'ipv6 nd managed-config-flag'}"
ipv6 nd prefix,"{'no ipv6 nd prefix [ipv6-prefix/prefix-length | default]', 'ipv6 nd prefix {ipv6-prefix/prefix-length | default} [no-advertise | {[valid-lifetime preferred-lifetime] [no-autoconfig] [off-link | no-onlink]}]'}"
ipv6 nd ra interval,"{'ipv6 nd ra interval maximum-secs [minimum-secs]', 'no ipv6 nd ra interval'}"
ipv6 nd ra lifetime,"{'ipv6 nd ra lifetime seconds', 'no ipv6 nd ra lifetime'}"
ipv6 nd ra suppress,"{'ipv6 nd ra suppress', 'no ipv6 nd ra suppress'}"
ipv6 nd raguard,"{'ipv6 nd raguard', 'no ipv6 nd raguard'}"
ipv6 nd raguard attach-policy (VLAN mode),"{'ipv6 nd raguard attach-policy policy-name', 'no ipv6 nd raguard attach-policy'}"
ipv6 nd raguard attach-policy (port mode),"{'no ipv6 nd raguard attach-policy [policy-name]', 'ipv6 nd raguard attach-policy policy-name [vlan vlan-list]'}"
ipv6 nd raguard hop-limit,"{'ipv6 nd raguard hop-limit {[maximum value] [minimum value]}', 'no ipv6 nd raguard hop-limit [maximum] [minimum]'}"
ipv6 nd raguard managed-config-flag,"{'no ipv6 nd raguard managed-config-flag', 'ipv6 nd raguard managed-config-flag {on | off}'}"
ipv6 nd raguard other-config-flag,"{'no ipv6 nd raguard other-config-flag', 'ipv6 nd raguard other-config-flag {on | off}'}"
ipv6 nd raguard policy,"{'no ipv6 nd raguard policy policy-name', 'ipv6 nd raguard policy policy-name'}"
ipv6 nd raguard router-preference,"{'no ipv6 nd raguard router-preference [maximum] [minimum]', 'ipv6 nd raguard router-preference {[maximum value] [minimum value]}'}"
ipv6 nd reachable-time,"{'no ipv6 nd reachable-time', 'ipv6 nd reachable-time milliseconds'}"
ipv6 nd router-preference,"{'ipv6 nd router-preference {high | medium | low}', 'no ipv6 nd router-preference'}"
ipv6 neighbor binding,"{'no ipv6 neighbor binding', 'ipv6 neighbor binding'}"
ipv6 neighbor binding address-config,"{'no ipv6 neighbor binding address-config', 'ipv6 neighbor binding address-config [stateless | any] [dhcp]'}"
ipv6 neighbor binding address-prefix,"{'no ipv6 neighbor binding address-prefix [vlan vlan-id] [ipv6-prefix/prefix-length]', 'ipv6 neighbor binding address-prefix vlan vlan-id ipv6-prefix/prefix-length [autoconfig]'}"
ipv6 neighbor binding address-prefix-validation,"{'no ipv6 neighbor binding address-prefix-validation', 'ipv6 neighbor binding address-prefix-validation'}"
ipv6 neighbor binding attach-policy (VLAN mode),"{'no ipv6 neighbor binding attach-policy', 'ipv6 neighbor binding attach-policy policy-name'}"
ipv6 neighbor binding attach-policy (port mode),"{'no ipv6 neighbor binding attach-policy [policy-name]', 'ipv6 neighbor binding attach-policy policy-name [vlan vlan-list]'}"
ipv6 neighbor binding lifetime,"{'ipv6 neighbor binding lifetime value', 'no ipv6 neighbor binding lifetime'}"
ipv6 neighbor binding max-entries,"{'no ipv6 neighbor binding max-entries [vlan-limit] [interface-limit] [mac-limit]', 'ipv6 neighbor binding max-entries {[vlan-limit number] [interface-limit number] [mac-limit number]}'}"
ipv6 neighbor binding policy,"{'no ipv6 neighbor binding policy policy-name', 'ipv6 neighbor binding policy policy-name'}"
ipv6 neighbor binding static,"{'no ipv6 neighbor binding static ipv6 ipv6-address vlan vlan-id', 'ipv6 neighbor binding static ipv6 ipv6-address vlan vlan-id interface interface-id mac mac-address'}"
ipv6 prefix-list,"{'no ipv6 prefix-list list-name [seq number]', 'ipv6 prefix-list list-name [seq number] {deny|permit} ipv6-prefix/prefix-length [ge ge-length] [le le-length]} | description text'}"
ipv6 redirects,"{'ipv6 redirects', 'no ipv6 redirects'}"
ipv6 route,"{'ipv6 route ipv6-prefix/prefix-length {next-ipv6-address [outgoing-interface-id]} | interface-id} [metric]', 'no ipv6 route ipv6-prefix/prefix-length [{next-ipv6-address [outgoing-interface-id]} | interface-id]'}"
ipv6 source guard,"{'no ipv6 source guard', 'ipv6 source guard'}"
ipv6 source guard attach-policy (port mode),"{'ipv6 source guard attach-policy policy-name', 'no ipv6 source guard attach-policy'}"
ipv6 source guard policy,"{'no ipv6 source guard policy policy-name', 'ipv6 source guard policy policy-name'}"
ipv6 ssh-client source-interface,"{'ipv6 ssh-client source-interface interface-id', 'no ipv6 ssh-client source-interface'}"
